Customer_ID,Age,Gender,Region,Monthly_Income,Subscription_Length_Months,Monthly_Bill,Support_Tickets,Internet_Usage_GB,Contract_Type,Payment_Method,Has_Multiple_Services,Last_Login_Days_Ago,Satisfaction_Score,Churn
CUST1028,40,Male,Chennai,41411,32,2234,3,518,Yearly,UPI,Yes,1,8,0
CUST1029,39,Male,Bangalore,41111,1,2302,3,502,Monthly,Credit Card,Yes,18,7,1
CUST1030,52,Female,Chennai,90713,35,762,3,173,Monthly,Credit Card,No,26,9,1
CUST1031,23,Male,Pune,61616,48,2801,3,482,Quarterly,UPI,No,5,7,0
CUST1032,30,Female,Chennai,37400,35,2182,2,433,Yearly,Credit Card,No,24,6,1
CUST1033,54,Male,Bangalore,42183,52,1086,0,449,Monthly,Net Banking,Yes,6,8,0
CUST1034,41,Female,Mumbai,78354,48,1996,2,182,Quarterly,UPI,No,29,2,1
CUST1035,39,Female,Pune,32869,35,1456,0,190,Quarterly,Debit Card,No,4,1,1
CUST1036,35,Male,Delhi,33987,56,2419,6,224,Quarterly,UPI,No,17,1,1
CUST1037,33,Female,Mumbai,70818,22,1545,5,67,Monthly,UPI,Yes,6,3,1
CUST1038,29,Male,Delhi,49738,27,725,4,313,Quarterly,Credit Card,Yes,15,1,1
CUST1039,26,Male,Bangalore,70764,48,1158,3,221,Quarterly,UPI,No,17,1,1
CUST1040,49,Female,Bangalore,48589,29,1569,4,547,Quarterly,Debit Card,No,3,9,1
CUST1041,58,Female,Chennai,48711,29,801,4,128,Yearly,UPI,Yes,28,1,1
CUST1042,42,Female,Mumbai,36102,33,627,1,352,Yearly,Net Banking,No,8,8,0
CUST1043,53,Male,Mumbai,34014,22,2186,1,184,Monthly,Debit Card,No,10,2,1
CUST1044,47,Female,Hyderabad,96320,40,745,6,506,Quarterly,UPI,Yes,10,7,1
CUST1045,47,Male,Chennai,80993,25,2955,4,535,Quarterly,Debit Card,No,7,9,1
CUST1046,57,Male,Delhi,32368,8,899,5,500,Monthly,Debit Card,No,15,2,1
CUST1047,23,Female,Hyderabad,40966,22,550,0,219,Quarterly,UPI,No,29,6,1
CUST1048,43,Female,Pune,61024,52,1181,5,83,Monthly,Debit Card,Yes,11,5,1
CUST1049,54,Female,Kolkata,49508,60,504,6,225,Monthly,Credit Card,No,6,4,1
CUST1050,51,Male,Delhi,99678,35,768,1,135,Quarterly,Net Banking,No,30,3,1
CUST1051,38,Female,Mumbai,58251,58,2474,1,503,Quarterly,Debit Card,No,21,7,1
CUST1052,30,Male,Bangalore,96617,58,1012,6,125,Yearly,Debit Card,Yes,30,6,1
CUST1053,46,Female,Chennai,75543,45,1396,4,476,Yearly,Credit Card,Yes,5,6,1
CUST1054,50,Male,Bangalore,89638,3,653,2,115,Monthly,Credit Card,Yes,25,5,1
CUST1055,51,Male,Kolkata,90403,5,1727,1,503,Monthly,Credit Card,Yes,16,5,1
CUST1056,57,Female,Bangalore,92752,30,856,6,129,Monthly,UPI,Yes,2,4,1
CUST1057,52,Male,Mumbai,95417,58,2989,0,354,Yearly,Credit Card,No,13,4,1
CUST1058,37,Female,Pune,81991,16,2282,1,526,Monthly,UPI,No,28,4,1
CUST1059,45,Male,Mumbai,89275,50,2927,0,456,Quarterly,Debit Card,Yes,5,3,1
CUST1060,22,Female,Bangalore,68304,40,1566,3,314,Yearly,Debit Card,Yes,13,2,1
CUST1061,56,Female,Hyderabad,57350,17,589,4,447,Quarterly,UPI,No,19,9,1
CUST1062,28,Female,Pune,33267,58,2149,4,104,Quarterly,Net Banking,No,29,8,1
CUST1063,57,Male,Chennai,63496,21,1175,1,486,Monthly,Debit Card,Yes,24,3,1
CUST1064,56,Male,Hyderabad,47955,18,1508,6,125,Quarterly,Net Banking,Yes,24,7,1
CUST1065,53,Female,Delhi,91476,12,2048,6,246,Quarterly,Debit Card,No,3,9,1
CUST1066,51,Female,Hyderabad,44397,20,2403,0,371,Yearly,UPI,No,13,3,1
CUST1067,57,Male,Bangalore,46779,41,575,0,484,Quarterly,UPI,Yes,28,4,1
CUST1068,40,Female,Chennai,90921,47,643,4,98,Monthly,Net Banking,No,3,9,1
CUST1069,42,Female,Mumbai,90566,16,1562,4,71,Yearly,Net Banking,Yes,26,7,1
CUST1070,35,Male,Pune,39348,35,1738,4,264,Quarterly,Net Banking,No,11,2,1
CUST1071,33,Male,Bangalore,78136,10,1453,3,282,Quarterly,UPI,No,6,7,0
CUST1072,34,Male,Hyderabad,80343,42,1916,1,223,Quarterly,Credit Card,No,5,5,1
CUST1073,59,Male,Bangalore,56962,8,2019,4,371,Quarterly,Credit Card,Yes,20,1,1
CUST1074,28,Male,Chennai,67080,45,1655,3,99,Quarterly,UPI,Yes,28,3,1
CUST1075,48,Male,Bangalore,55289,26,538,5,480,Monthly,Debit Card,Yes,13,2,1
CUST1076,49,Female,Chennai,33709,58,2183,3,485,Yearly,UPI,Yes,29,9,1
CUST1077,22,Male,Mumbai,69298,13,2895,5,534,Monthly,Debit Card,No,28,1,1
CUST1078,46,Female,Hyderabad,63591,33,1433,4,163,Monthly,Debit Card,No,26,5,1
CUST1079,37,Male,Delhi,91642,60,1752,3,256,Quarterly,UPI,Yes,19,4,1
CUST1080,39,Male,Delhi,47640,49,2049,6,444,Yearly,UPI,No,1,5,1
CUST1081,24,Male,Hyderabad,49087,23,1535,1,387,Yearly,Debit Card,Yes,12,8,0
CUST1082,49,Female,Mumbai,59703,58,1871,3,119,Yearly,Debit Card,Yes,8,10,0
CUST1083,49,Male,Hyderabad,57355,37,540,3,531,Monthly,Credit Card,No,17,9,1
CUST1084,54,Female,Hyderabad,85284,20,1424,4,282,Monthly,UPI,Yes,6,2,1
CUST1085,26,Male,Delhi,80990,25,2997,1,271,Monthly,Credit Card,Yes,27,5,1
CUST1086,54,Female,Pune,91813,1,2693,6,206,Yearly,Credit Card,No,11,5,1
CUST1087,47,Male,Pune,34158,25,1188,4,134,Yearly,Net Banking,No,3,1,1
CUST1088,42,Male,Kolkata,70943,55,1017,3,466,Monthly,Debit Card,No,23,5,1
CUST1089,58,Female,Hyderabad,34809,10,582,0,114,Monthly,Debit Card,Yes,14,9,0
CUST1090,22,Female,Kolkata,75106,45,1216,3,475,Quarterly,UPI,Yes,1,1,1
CUST1091,53,Male,Hyderabad,66187,31,2074,1,279,Quarterly,Credit Card,No,2,6,0
CUST1092,24,Female,Delhi,62049,12,2484,5,265,Yearly,Net Banking,No,5,9,1
CUST1093,38,Male,Chennai,83871,47,1752,4,104,Quarterly,Credit Card,Yes,19,7,1
CUST1094,59,Female,Chennai,95215,60,1829,1,364,Yearly,UPI,Yes,27,3,1
CUST1095,55,Female,Mumbai,83413,33,1858,3,135,Monthly,Debit Card,Yes,19,1,1
CUST1096,26,Female,Pune,69811,10,2731,0,359,Monthly,UPI,No,17,4,1
CUST1097,45,Male,Pune,44388,2,704,5,72,Quarterly,Credit Card,No,16,3,1
CUST1098,44,Male,Hyderabad,36090,54,2435,3,389,Yearly,Credit Card,Yes,4,8,0
CUST1099,46,Male,Hyderabad,63434,29,1171,1,90,Yearly,UPI,No,26,3,1
CUST1100,40,Female,Delhi,87108,5,1989,3,434,Quarterly,UPI,Yes,6,1,1
CUST1101,26,Male,Bangalore,46907,26,2468,5,102,Monthly,Net Banking,Yes,26,9,1
CUST1102,43,Female,Bangalore,40478,56,2897,2,77,Quarterly,Credit Card,Yes,29,1,1
CUST1103,47,Male,Chennai,94291,1,2555,0,282,Quarterly,Credit Card,Yes,20,8,1
CUST1104,43,Female,Bangalore,38717,26,527,6,107,Quarterly,Net Banking,No,24,2,1
CUST1105,47,Female,Hyderabad,34621,59,1835,2,36,Yearly,UPI,No,3,7,0
CUST1106,39,Male,Hyderabad,64674,15,1715,0,514,Quarterly,Credit Card,No,28,10,1
CUST1107,38,Female,Delhi,36229,26,625,3,174,Yearly,Debit Card,No,13,4,1
CUST1108,46,Female,Bangalore,37561,3,732,4,175,Monthly,UPI,Yes,15,4,1
CUST1109,43,Male,Chennai,42910,8,2972,4,547,Monthly,Debit Card,Yes,20,10,1
CUST1110,55,Female,Hyderabad,47260,6,1812,4,306,Monthly,Net Banking,Yes,6,6,1
CUST1111,25,Female,Delhi,86138,30,2130,6,166,Monthly,UPI,No,23,3,1
CUST1112,52,Female,Bangalore,34324,36,1419,6,35,Yearly,Credit Card,Yes,2,4,1
CUST1113,49,Male,Mumbai,58746,4,2370,5,147,Quarterly,Net Banking,Yes,17,8,1
CUST1114,59,Female,Pune,43234,57,693,6,421,Quarterly,Credit Card,No,26,3,1
CUST1115,26,Female,Mumbai,36469,26,1641,3,254,Monthly,Credit Card,No,20,1,1
CUST1116,33,Female,Delhi,97584,26,1153,5,168,Monthly,Net Banking,Yes,4,3,1
CUST1117,54,Female,Pune,89383,10,760,6,201,Yearly,Debit Card,No,2,8,1
CUST1118,23,Female,Hyderabad,64387,1,1842,4,358,Quarterly,Net Banking,Yes,17,9,1
CUST1119,32,Female,Pune,56614,35,1618,0,347,Quarterly,UPI,No,28,2,1
CUST1120,35,Female,Chennai,97444,56,1660,1,542,Quarterly,Net Banking,Yes,8,6,0
CUST1121,50,Female,Hyderabad,38007,11,1372,4,299,Yearly,Net Banking,No,28,3,1
CUST1122,42,Female,Hyderabad,45524,5,577,1,161,Monthly,Credit Card,Yes,25,10,1
CUST1123,46,Female,Chennai,73303,8,1818,5,451,Yearly,Credit Card,No,1,7,1
CUST1124,36,Male,Delhi,39184,25,2692,0,532,Monthly,UPI,Yes,2,5,1
CUST1125,27,Female,Kolkata,84917,3,2938,2,477,Monthly,Debit Card,No,20,1,1
CUST1126,51,Female,Delhi,39446,27,919,4,470,Quarterly,Debit Card,Yes,1,5,1
CUST1127,48,Male,Chennai,32336,4,2357,1,546,Quarterly,Net Banking,Yes,27,10,1
CUST1128,54,Male,Mumbai,76197,38,2432,6,257,Monthly,Debit Card,Yes,13,8,1
CUST1129,36,Male,Bangalore,50103,5,2594,3,159,Monthly,UPI,No,27,3,1
CUST1130,57,Male,Bangalore,44153,40,1211,6,375,Yearly,Net Banking,No,14,10,1
CUST1131,34,Female,Kolkata,47368,33,2139,3,489,Quarterly,Net Banking,Yes,12,4,1
CUST1132,25,Female,Kolkata,94644,56,2363,6,135,Quarterly,Credit Card,Yes,17,10,1
CUST1133,30,Female,Pune,74327,41,1930,0,434,Yearly,UPI,Yes,26,4,1
CUST1134,44,Female,Kolkata,49256,1,2354,5,400,Monthly,UPI,Yes,8,5,1
CUST1135,30,Female,Bangalore,87545,52,2860,4,273,Quarterly,Credit Card,No,25,10,1
CUST1136,32,Female,Hyderabad,38577,7,974,1,376,Monthly,Credit Card,Yes,17,3,1
CUST1137,45,Female,Chennai,97526,52,1209,4,190,Yearly,Net Banking,No,17,6,1
CUST1138,47,Female,Bangalore,40395,50,1992,0,113,Yearly,Net Banking,Yes,9,1,1
CUST1139,41,Male,Chennai,82853,22,1586,4,389,Yearly,Credit Card,Yes,17,7,1
CUST1140,22,Female,Bangalore,31759,13,1489,6,464,Yearly,UPI,Yes,27,8,1
CUST1141,40,Female,Kolkata,32079,30,2832,0,458,Yearly,UPI,No,29,8,1
CUST1142,40,Male,Delhi,48449,1,1894,6,223,Quarterly,Net Banking,Yes,22,1,1
CUST1143,51,Female,Chennai,68565,51,1330,3,293,Quarterly,Debit Card,Yes,29,7,1
CUST1144,24,Male,Pune,82603,33,2634,6,505,Yearly,Credit Card,Yes,18,7,1
CUST1145,50,Female,Bangalore,85106,24,2506,2,357,Monthly,Net Banking,Yes,22,9,1
CUST1146,58,Female,Mumbai,69986,33,1787,1,125,Quarterly,UPI,No,24,8,1
CUST1147,37,Female,Delhi,84771,37,681,4,36,Yearly,Credit Card,No,10,7,1
CUST1148,54,Male,Bangalore,32198,21,646,4,314,Monthly,Net Banking,Yes,28,2,1
CUST1149,23,Male,Mumbai,72880,47,2439,2,415,Monthly,Debit Card,No,3,7,0
CUST1150,33,Female,Mumbai,44596,37,1433,5,255,Monthly,Debit Card,No,21,3,1
CUST1151,43,Male,Delhi,47771,24,1092,1,187,Yearly,Credit Card,No,24,7,1
CUST1152,53,Female,Chennai,81920,50,1020,1,266,Yearly,Credit Card,No,25,7,1
CUST1153,30,Female,Chennai,85029,22,2551,1,471,Monthly,UPI,No,29,2,1
CUST1154,44,Female,Delhi,86133,18,2675,4,71,Yearly,Net Banking,No,4,9,1
CUST1155,59,Female,Bangalore,56657,17,2200,0,407,Monthly,Debit Card,Yes,12,7,0
CUST1156,43,Female,Pune,91396,27,1145,2,197,Yearly,UPI,No,2,9,0
CUST1157,28,Male,Kolkata,89052,17,1201,1,159,Yearly,Debit Card,No,28,6,1
CUST1158,22,Female,Hyderabad,49250,53,1894,1,58,Yearly,Debit Card,No,21,8,1
CUST1159,32,Male,Pune,54762,39,1750,5,127,Yearly,Net Banking,No,23,8,1
CUST1160,43,Female,Kolkata,51792,58,1250,3,496,Yearly,Credit Card,No,3,4,1
CUST1161,38,Male,Bangalore,54058,45,2526,1,230,Quarterly,UPI,No,26,2,1
CUST1162,30,Male,Pune,45048,40,1540,0,246,Yearly,Credit Card,No,29,8,1
CUST1163,46,Male,Mumbai,43350,35,630,1,258,Yearly,Net Banking,No,12,3,1
CUST1164,51,Male,Chennai,50581,34,2822,4,73,Monthly,UPI,Yes,27,1,1
CUST1165,38,Male,Kolkata,79481,57,2020,6,41,Monthly,Credit Card,Yes,30,8,1
CUST1166,40,Male,Kolkata,42254,21,2250,4,403,Monthly,Debit Card,Yes,16,6,1
CUST1167,29,Male,Mumbai,45896,18,1612,3,518,Monthly,Debit Card,No,13,10,0
CUST1168,53,Female,Delhi,67641,16,1210,0,115,Monthly,Net Banking,No,26,7,1
CUST1169,35,Male,Mumbai,67198,53,636,2,527,Yearly,Credit Card,Yes,27,7,1
CUST1170,50,Male,Mumbai,36737,31,1489,3,431,Quarterly,Debit Card,No,27,10,1
CUST1171,38,Male,Kolkata,82375,35,2735,4,127,Yearly,Credit Card,Yes,3,5,1
CUST1172,47,Male,Kolkata,50662,23,863,6,526,Yearly,UPI,Yes,4,6,1
CUST1173,46,Female,Mumbai,37564,18,515,4,455,Monthly,Net Banking,Yes,12,2,1
CUST1174,56,Female,Kolkata,82393,34,2961,2,170,Quarterly,Debit Card,Yes,18,3,1
CUST1175,50,Female,Pune,59629,49,976,5,274,Yearly,Debit Card,No,12,9,1
CUST1176,37,Female,Mumbai,88606,57,765,5,388,Quarterly,Debit Card,No,20,5,1
CUST1177,22,Female,Mumbai,62733,49,2550,4,171,Quarterly,Net Banking,Yes,24,2,1
CUST1178,25,Female,Hyderabad,62913,37,931,0,428,Quarterly,UPI,No,17,9,1
CUST1179,45,Male,Chennai,73001,37,2608,4,409,Monthly,UPI,No,6,7,1
CUST1180,45,Male,Pune,59757,13,2773,0,339,Yearly,UPI,Yes,21,3,1
CUST1181,31,Male,Chennai,70042,34,1324,1,535,Yearly,Credit Card,No,3,8,0
CUST1182,27,Female,Chennai,80948,54,1226,0,128,Monthly,UPI,Yes,20,10,1
CUST1183,56,Male,Mumbai,55425,17,2763,2,189,Quarterly,Credit Card,Yes,3,6,0
CUST1184,34,Male,Bangalore,37287,47,2876,3,386,Monthly,Credit Card,Yes,2,9,0
CUST1185,24,Female,Delhi,73642,28,1718,0,361,Monthly,Debit Card,No,10,9,0
CUST1186,36,Female,Pune,72520,5,1918,2,255,Monthly,Net Banking,No,24,6,1
CUST1187,29,Male,Pune,51754,5,1699,1,483,Quarterly,Net Banking,No,5,5,1
CUST1188,34,Female,Chennai,75648,50,1824,5,378,Quarterly,UPI,Yes,19,10,1
CUST1189,24,Male,Pune,31591,40,2389,2,318,Quarterly,Credit Card,No,6,8,0
CUST1190,40,Male,Kolkata,49623,28,2900,2,392,Yearly,Debit Card,No,13,9,0
CUST1191,57,Male,Hyderabad,99274,38,1199,6,162,Yearly,Net Banking,No,11,10,1
CUST1192,52,Female,Pune,77638,42,2910,4,111,Monthly,UPI,No,4,2,1
CUST1193,35,Female,Kolkata,87932,29,2047,6,253,Monthly,Credit Card,Yes,13,1,1
CUST1194,38,Female,Delhi,61966,34,1199,4,355,Yearly,UPI,Yes,19,7,1
CUST1195,31,Male,Pune,72207,34,1935,3,364,Quarterly,UPI,Yes,30,5,1
CUST1196,50,Male,Pune,43507,20,2387,3,271,Monthly,UPI,Yes,4,1,1
CUST1197,33,Female,Delhi,93888,10,1385,0,51,Yearly,Credit Card,No,26,8,1
CUST1198,39,Male,Chennai,97889,14,1203,6,314,Quarterly,UPI,No,12,4,1
CUST1199,56,Male,Chennai,51427,12,1530,4,62,Quarterly,Net Banking,Yes,6,3,1
CUST1200,32,Male,Pune,59241,23,1953,1,314,Monthly,UPI,Yes,4,1,1
CUST1201,56,Male,Bangalore,36540,41,538,6,186,Quarterly,Debit Card,Yes,11,4,1
CUST1202,53,Male,Hyderabad,90545,47,1473,3,51,Quarterly,Debit Card,No,11,3,1
CUST1203,38,Female,Bangalore,74413,44,1488,4,332,Yearly,Net Banking,Yes,16,5,1
CUST1204,41,Male,Pune,78901,19,2476,4,416,Monthly,Debit Card,No,27,1,1
CUST1205,59,Female,Pune,49982,34,2480,2,300,Yearly,UPI,No,12,8,0
CUST1206,46,Male,Kolkata,35776,29,1019,6,56,Monthly,UPI,No,14,2,1
CUST1207,28,Female,Kolkata,91788,44,1192,3,407,Yearly,Net Banking,Yes,3,4,1
CUST1208,36,Female,Chennai,98760,30,2753,6,302,Yearly,Net Banking,No,30,4,1
CUST1209,57,Male,Bangalore,38712,38,1516,3,530,Yearly,Debit Card,Yes,21,2,1
CUST1210,45,Female,Bangalore,59759,13,571,4,303,Monthly,Credit Card,No,30,2,1
CUST1211,52,Female,Kolkata,56143,11,1824,0,131,Quarterly,UPI,No,9,8,0
CUST1212,32,Male,Kolkata,62981,51,1611,0,430,Quarterly,Credit Card,Yes,12,9,0
CUST1213,53,Male,Bangalore,78787,33,1213,1,31,Quarterly,UPI,No,1,1,1
CUST1214,34,Male,Pune,86985,22,2741,5,119,Monthly,UPI,Yes,14,10,1
CUST1215,36,Female,Bangalore,98577,42,1386,3,334,Quarterly,Debit Card,Yes,8,3,1
CUST1216,27,Male,Chennai,56015,41,1215,1,347,Quarterly,UPI,Yes,20,7,1
CUST1217,32,Male,Hyderabad,76163,16,1399,5,343,Quarterly,Credit Card,No,22,10,1
CUST1218,24,Male,Pune,86446,41,1373,5,41,Yearly,UPI,No,23,9,1
CUST1219,40,Female,Pune,50022,46,1184,4,338,Quarterly,UPI,No,23,3,1
CUST1220,39,Female,Pune,46082,22,1048,0,88,Quarterly,Credit Card,Yes,3,10,0
CUST1221,56,Male,Pune,75500,29,2482,6,382,Yearly,Credit Card,Yes,7,1,1
CUST1222,51,Female,Hyderabad,89321,24,903,4,545,Monthly,Debit Card,Yes,28,4,1
CUST1223,45,Female,Kolkata,34703,41,2967,1,146,Yearly,UPI,Yes,2,4,1
CUST1224,23,Male,Pune,56958,34,2297,6,400,Monthly,Credit Card,No,26,6,1
CUST1225,33,Male,Hyderabad,78364,18,2568,6,549,Yearly,Net Banking,Yes,4,7,1
CUST1226,35,Male,Pune,79153,55,2840,4,347,Monthly,Credit Card,No,22,8,1
CUST1227,46,Male,Delhi,99350,6,2540,3,95,Monthly,Debit Card,No,3,5,1
CUST1228,26,Female,Kolkata,43760,40,959,3,330,Quarterly,Credit Card,No,23,10,1
CUST1229,24,Male,Mumbai,63397,14,2493,4,390,Quarterly,Credit Card,Yes,1,5,1
CUST1230,41,Male,Hyderabad,53499,1,2860,5,313,Yearly,Credit Card,Yes,25,5,1
CUST1231,58,Male,Hyderabad,45563,37,2852,0,185,Monthly,UPI,No,15,6,0
CUST1232,41,Female,Pune,50337,14,1468,6,322,Yearly,Debit Card,No,20,10,1
CUST1233,50,Male,Bangalore,69030,35,697,4,88,Yearly,UPI,No,5,1,1
CUST1234,35,Male,Kolkata,55611,42,775,4,271,Monthly,Debit Card,Yes,24,2,1
CUST1235,46,Female,Mumbai,91212,57,1746,6,456,Monthly,Debit Card,No,18,7,1
CUST1236,59,Male,Bangalore,42115,23,2931,5,337,Monthly,Debit Card,No,16,2,1
CUST1237,29,Male,Bangalore,40225,21,628,6,381,Monthly,Net Banking,Yes,6,5,1
CUST1238,43,Female,Bangalore,78320,55,1642,1,456,Yearly,UPI,Yes,10,2,1
CUST1239,39,Female,Pune,54089,8,802,0,374,Quarterly,Credit Card,Yes,14,4,1
CUST1240,54,Female,Delhi,61890,31,2499,5,82,Yearly,Credit Card,No,16,5,1
CUST1241,47,Male,Hyderabad,38125,28,1509,5,190,Yearly,UPI,No,9,9,1
CUST1242,34,Female,Pune,57208,53,988,2,353,Quarterly,Net Banking,Yes,2,6,0
CUST1243,25,Female,Hyderabad,34114,6,2944,0,308,Monthly,Credit Card,Yes,19,1,1
CUST1244,45,Female,Delhi,81924,15,1210,6,502,Monthly,Credit Card,No,1,1,1
CUST1245,53,Male,Bangalore,52443,38,2509,2,32,Yearly,Credit Card,No,21,10,1
CUST1246,29,Male,Bangalore,65631,2,2447,4,250,Monthly,Debit Card,Yes,26,9,1
CUST1247,33,Female,Pune,51636,34,803,4,329,Yearly,Credit Card,Yes,4,7,1
CUST1248,27,Female,Bangalore,89889,44,1390,2,50,Monthly,Net Banking,Yes,23,7,1
CUST1249,37,Female,Pune,89182,53,1647,6,80,Yearly,UPI,No,15,4,1
CUST1250,42,Male,Bangalore,67650,34,1857,4,402,Quarterly,UPI,Yes,20,3,1
CUST1251,29,Female,Hyderabad,84691,30,2181,1,119,Monthly,Net Banking,No,25,7,1
CUST1252,52,Female,Pune,74139,10,1562,4,188,Yearly,Debit Card,Yes,7,8,1
CUST1253,57,Male,Bangalore,42149,7,2345,0,201,Quarterly,Debit Card,Yes,24,10,1
CUST1254,34,Female,Chennai,95429,54,1800,5,249,Monthly,Debit Card,Yes,9,10,1
CUST1255,30,Male,Delhi,61401,8,2699,0,183,Monthly,Debit Card,Yes,27,5,1
CUST1256,25,Female,Delhi,85826,36,645,2,468,Quarterly,UPI,Yes,18,5,1
CUST1257,56,Male,Delhi,47633,33,1130,4,461,Quarterly,Credit Card,Yes,5,3,1
CUST1258,49,Female,Pune,70390,32,2046,1,106,Yearly,UPI,No,29,9,1
CUST1259,46,Female,Bangalore,47727,35,762,4,403,Quarterly,Debit Card,No,29,7,1
CUST1260,32,Female,Kolkata,92438,24,1199,5,247,Quarterly,UPI,Yes,6,10,1
CUST1261,53,Female,Delhi,69532,46,535,4,382,Yearly,Debit Card,Yes,4,3,1
CUST1262,30,Male,Kolkata,61367,33,2414,5,454,Yearly,UPI,Yes,7,4,1
CUST1263,34,Female,Hyderabad,94315,2,1455,4,457,Yearly,Credit Card,Yes,27,5,1
CUST1264,29,Male,Kolkata,86549,8,2085,2,410,Yearly,Debit Card,Yes,26,3,1
CUST1265,43,Male,Mumbai,35249,23,1695,1,238,Quarterly,Net Banking,No,3,2,1
CUST1266,44,Female,Mumbai,83363,8,1161,3,471,Yearly,UPI,No,4,5,1
CUST1267,34,Female,Kolkata,78604,31,1516,6,237,Monthly,UPI,Yes,10,9,1
CUST1268,37,Female,Chennai,98619,17,1923,3,544,Quarterly,Debit Card,Yes,16,7,1
CUST1269,49,Female,Mumbai,85922,40,1129,4,277,Monthly,Net Banking,No,12,1,1
CUST1270,51,Male,Delhi,43395,6,2953,1,485,Yearly,Net Banking,No,7,1,1
CUST1271,37,Male,Hyderabad,40699,38,2023,1,538,Quarterly,Credit Card,Yes,14,4,1
CUST1272,54,Male,Kolkata,35782,50,2101,0,370,Monthly,UPI,No,2,9,0
CUST1273,30,Male,Bangalore,85114,3,1703,5,436,Quarterly,Credit Card,Yes,26,4,1
CUST1274,39,Female,Chennai,95450,15,841,3,130,Yearly,Net Banking,Yes,20,10,1
CUST1275,33,Male,Kolkata,42329,38,1093,4,187,Yearly,Debit Card,No,24,10,1
CUST1276,51,Male,Bangalore,82290,16,1447,5,102,Monthly,Debit Card,No,15,5,1
CUST1277,56,Female,Chennai,36721,27,629,2,495,Quarterly,Net Banking,Yes,14,4,1
CUST1278,39,Male,Chennai,78895,10,2060,1,282,Quarterly,Net Banking,Yes,22,1,1
CUST1279,57,Male,Hyderabad,35901,1,1633,5,267,Monthly,UPI,No,29,4,1
CUST1280,24,Male,Hyderabad,65298,41,1548,4,146,Monthly,Net Banking,No,2,8,1
CUST1281,42,Male,Bangalore,47347,25,2103,4,41,Quarterly,Credit Card,Yes,28,4,1
CUST1282,39,Male,Hyderabad,82188,60,2994,5,72,Yearly,Net Banking,Yes,30,2,1
CUST1283,44,Male,Bangalore,69922,5,2453,1,374,Quarterly,UPI,Yes,2,2,1
CUST1284,52,Male,Mumbai,55032,23,2630,0,128,Yearly,UPI,No,21,9,1
